Symbol,Series,Prev. Close,LTP,%change,Upper Band,Volume,Value
VISACHROME,EQ,30.27,30.35,   0.26,5,0.30533,0.092148594
SWISSMLTRY,BE,14.66,14.86,   1.36,5,0.52235,0.07798685500000001
UTKAL,SM,46.1,47.85,   3.80,5,0.16,0.07656
MBECL,BE,382.47,401.59,   5.00,5,0.01856,0.074535104
GVKPIL,BE,2.37,2.41,   1.69,2,2.96315,0.071411915
S&SPOWER,EQ,318.7,325.4,   2.10,5,0.02013,0.065881464
PENTAGON,ST,87.0,91.35,   5.00,5,0.07,0.063441
CLSL,ST,74.95,71.55,  -4.54,5,0.08,0.060824
DHARAN,BZ,0.13,0.14,   7.69,5,46.72104,0.060737352
SADBHAV,EQ,7.52,7.72,   2.66,5,0.78712,0.060450816000000004
CTE,BE,38.77,40.7,   4.98,5,0.14233,0.057672116
ZEAL,SM,75.0,80.05,   6.73,10,0.066,0.0536778
TPHQ,BE,0.53,0.55,   3.77,5,8.88805,0.04799547
MPEL,ST,21.2,22.25,   4.95,5,0.192,0.0426624
KRITINUT,EQ,80.45,82.7,   2.80,5,0.05098,0.042226734
PARASPETRO,EQ,2.13,2.16,   1.41,5,1.67924,0.036439508
TOYAMSL,EQ,0.74,0.77,   4.05,5,4.36923,0.033643071000000004
RNPL,SM,55.5,58.25,   4.95,5,0.048,0.027912
DHRUV,EQ,21.69,21.35,  -1.57,5,0.12444,0.027613236
AKI,BE,5.82,6.11,   4.98,5,0.43536,0.026600496
AUROIMPEX,SM,32.15,33.75,   4.98,5,0.064,0.0216
LCCINFOTEC,EQ,3.28,3.44,   4.88,5,0.47267,0.016259848
FEL,BZ,0.36,0.37,   2.78,2,4.4823,0.01613628
GATECHDVR,BE,0.48,0.49,   2.08,5,3.23869,0.015545712
IMPEXFERRO,BZ,5.48,5.58,   1.82,2,0.26392,0.014726735999999999
888SCL25E,N4,898.0,800, -10.91,20,0.00172,0.014249856
SEYAIND,BE,12.87,12.7,  -1.32,2,0.10476,0.013566420000000001
PPSL,SM,2.9,3,   3.45,5,0.45,0.01332
GFSTEELS,BE,24.23,25.44,   4.99,5,0.04818,0.012256992
DEEM,ST,39.0,40.95,   5.00,5,0.03,0.012
CRAYONS,SM,23.05,23.5,   1.95,5,0.04,0.009492
RADIOWALLA,ST,25.2,26.45,   4.96,5,0.032,0.0082624
TIMESCAN,SM,37.6,39.45,   4.92,5,0.02,0.00789
MPEL-RE,ST,1.65,1.8,   9.09,10,0.416,0.007488
SVPGLOB,EQ,3.35,3.39,   1.19,5,0.18372,0.006301596
ANSALAPI,BZ,3.52,3.59,   1.99,2,0.1722,0.00616476
SITINET,BZ,0.27,0.28,   3.70,2,1.97428,0.005330556
FLFL,BZ,1.11,1.1,  -0.90,5,0.32902,0.003685024
MASKINVEST,EQ,137.0,143.85,   5.00,5,0.00228,0.003278868
WINNY,SM,30.95,32.45,   4.85,5,0.01,0.003245
PARSVNATH,BE,1.81,1.84,   1.66,2,0.17167,0.003158728
INSPIRE,SM,9.25,9.7,   4.86,5,0.02,0.00194
QUICKTOUCH,SM,16.2,17,   4.94,5,0.01,0.0017
ANKITMETAL,BZ,1.7,1.73,   1.76,2,0.05982,0.001034886
FLEXITUFF,BE,2.46,2.58,   4.88,5,0.03794,0.000978852
SIEL,EQ,31.5,30,  -4.76,5,0.00233,0.000704359
DSKULKARNI,BE,22.27,22.71,   1.98,2,0.00161,0.000365631
FELDVR,BZ,1.96,2.05,   4.59,5,0.01629,0.000322542
